image,multi-label_double_winding,multi-label_gap,multi-label_crossing,binary_NOK
Spule020_Image0001_00958_1.jpg,0,0,0,0
Spule020_Image0002_00959_1.jpg,0,0,0,0
Spule020_Image0003_00000_1.jpg,0,0,0,0
Spule020_Image0004_00001_1.jpg,0,0,0,0
Spule020_Image0005_00002_1.jpg,0,0,0,0
Spule020_Image0006_00003_1.jpg,0,0,0,0
Spule020_Image0007_00004_1.jpg,0,0,0,0
Spule020_Image0008_00005_1.jpg,0,0,0,0
Spule020_Image0009_00006_1.jpg,0,0,0,0
Spule020_Image0010_00007_1.jpg,0,0,0,0
Spule020_Image0011_00008_1.jpg,0,0,0,0
Spule020_Image0012_00009_1.jpg,0,0,0,0
Spule020_Image0013_00010_1.jpg,0,0,0,0
Spule020_Image0014_00011_1.jpg,0,0,0,0
Spule020_Image0015_00012_1.jpg,0,0,0,0
Spule020_Image0016_00013_1.jpg,0,0,0,0
Spule020_Image0017_00014_1.jpg,0,0,0,0
Spule020_Image0018_00015_1.jpg,0,0,0,0
Spule020_Image0019_00016_1.jpg,0,0,0,0
Spule020_Image0020_00017_1.jpg,0,0,0,0
Spule020_Image0021_00018_1.jpg,0,0,0,0
Spule020_Image0022_00019_1.jpg,0,0,0,0
Spule020_Image0023_00020_1.jpg,0,0,0,0
Spule020_Image0024_00021_1.jpg,0,0,0,0
Spule020_Image0025_00022_1.jpg,0,0,0,0
Spule020_Image0026_00023_1.jpg,0,0,0,0
Spule020_Image0027_00024_1.jpg,0,0,0,0
Spule020_Image0028_00025_1.jpg,0,0,0,0
Spule020_Image0029_00026_1.jpg,0,0,0,0
Spule020_Image0030_00027_1.jpg,0,0,0,0
Spule020_Image0031_00028_1.jpg,0,0,0,0
Spule020_Image0032_00029_1.jpg,0,0,0,0
Spule020_Image0033_00030_1.jpg,0,0,0,0
Spule020_Image0034_00031_1.jpg,0,0,0,0
Spule020_Image0035_00032_1.jpg,0,0,0,0
Spule020_Image0036_00033_1.jpg,0,0,0,0
Spule020_Image0037_00034_1.jpg,0,0,0,0
Spule020_Image0038_00035_1.jpg,0,0,0,0
Spule020_Image0039_00036_1.jpg,0,0,0,0
Spule020_Image0040_00037_1.jpg,0,0,0,0
Spule020_Image0041_00038_1.jpg,0,0,0,0
Spule020_Image0042_00039_1.jpg,0,0,0,0
Spule020_Image0043_00040_1.jpg,0,0,0,0
Spule020_Image0044_00041_1.jpg,0,0,0,0
Spule020_Image0045_00042_1.jpg,0,0,0,0
Spule020_Image0046_00043_1.jpg,0,0,0,0
Spule020_Image0047_00044_1.jpg,0,0,0,0
Spule020_Image0048_00045_1.jpg,0,0,0,0
Spule020_Image0049_00046_1.jpg,0,0,0,0
Spule020_Image0050_00047_1.jpg,0,0,0,0
Spule020_Image0051_00048_1.jpg,0,0,0,0
Spule020_Image0052_00049_1.jpg,0,0,0,0
Spule020_Image0053_00050_1.jpg,0,0,0,0
Spule020_Image0054_00051_1.jpg,0,0,0,0
Spule020_Image0055_00052_1.jpg,0,0,0,0
Spule020_Image0056_00053_1.jpg,0,0,0,0
Spule020_Image0057_00054_1.jpg,0,0,0,0
Spule020_Image0058_00055_1.jpg,0,0,0,0
Spule020_Image0059_00056_1.jpg,0,0,0,0
Spule020_Image0060_00057_1.jpg,0,0,0,0
Spule020_Image0061_00058_1.jpg,0,0,0,0
Spule020_Image0062_00059_1.jpg,0,0,0,0
Spule020_Image0063_00060_1.jpg,0,0,0,0
Spule020_Image0064_00061_1.jpg,0,0,0,0
Spule020_Image0065_00062_1.jpg,0,0,0,0
Spule020_Image0066_00063_1.jpg,0,0,0,0
Spule020_Image0067_00064_1.jpg,0,0,0,0
Spule020_Image0068_00065_1.jpg,0,0,0,0
Spule020_Image0069_00066_1.jpg,0,0,0,0
Spule020_Image0070_00067_1.jpg,0,0,0,0
Spule020_Image0071_00068_1.jpg,0,0,0,0
Spule020_Image0072_00069_1.jpg,0,0,0,0
Spule020_Image0073_00070_1.jpg,0,0,0,0
Spule020_Image0074_00071_1.jpg,0,0,0,0
Spule020_Image0075_00072_1.jpg,0,0,0,0
Spule020_Image0076_00073_1.jpg,0,0,0,0
Spule020_Image0077_00074_1.jpg,0,0,0,0
Spule020_Image0078_00075_1.jpg,0,0,0,0
Spule020_Image0079_00076_1.jpg,0,0,0,0
Spule020_Image0080_00077_1.jpg,0,0,0,0
Spule020_Image0081_00078_1.jpg,0,0,0,0
Spule020_Image0082_00079_1.jpg,0,0,0,0
Spule020_Image0083_00080_1.jpg,0,0,0,0
Spule020_Image0084_00081_1.jpg,0,0,0,0
Spule020_Image0085_00082_1.jpg,0,0,0,0
Spule020_Image0086_00083_1.jpg,0,0,0,0
Spule020_Image0087_00084_1.jpg,0,0,0,0
Spule020_Image0088_00085_1.jpg,0,0,0,0
Spule020_Image0089_00086_1.jpg,0,0,0,0
Spule020_Image0090_00087_1.jpg,0,0,0,0
Spule020_Image0091_00088_1.jpg,0,1,0,1
Spule020_Image0092_00089_1.jpg,0,1,0,1
Spule020_Image0093_00090_1.jpg,0,1,0,1
Spule020_Image0094_00091_1.jpg,0,1,0,1
Spule020_Image0095_00092_1.jpg,0,1,0,1
Spule020_Image0096_00093_1.jpg,0,1,0,1
Spule020_Image0097_00094_1.jpg,0,1,0,1
Spule020_Image0098_00095_1.jpg,0,0,0,0
Spule020_Image0099_00096_1.jpg,0,1,0,1
Spule020_Image0100_00097_1.jpg,0,1,0,1
Spule020_Image0101_00098_1.jpg,0,1,0,1
Spule020_Image0102_00099_1.jpg,0,0,0,0
Spule020_Image0103_00100_1.jpg,0,1,0,1
Spule020_Image0104_00101_1.jpg,0,1,0,1
Spule020_Image0105_00102_1.jpg,0,1,0,1
Spule020_Image0106_00103_1.jpg,0,0,0,0
Spule020_Image0107_00104_1.jpg,0,1,0,1
Spule020_Image0108_00105_1.jpg,0,1,0,1
Spule020_Image0109_00106_1.jpg,0,1,0,1
Spule020_Image0110_00107_1.jpg,0,0,0,0
Spule020_Image0111_00108_1.jpg,0,1,0,1
Spule020_Image0112_00109_1.jpg,0,1,0,1
Spule020_Image0113_00110_1.jpg,0,1,0,1
Spule020_Image0114_00111_1.jpg,0,0,0,0
Spule020_Image0115_00112_1.jpg,0,1,0,1
Spule020_Image0116_00113_1.jpg,0,1,0,1
Spule020_Image0117_00114_1.jpg,0,1,0,1
Spule020_Image0118_00115_1.jpg,0,0,0,0
Spule020_Image0119_00116_1.jpg,0,1,0,1
Spule020_Image0120_00117_1.jpg,0,1,0,1
Spule020_Image0121_00118_1.jpg,0,1,0,1
Spule020_Image0122_00119_1.jpg,0,0,0,0
Spule020_Image0123_00120_1.jpg,0,1,0,1
Spule020_Image0124_00121_1.jpg,0,1,0,1
Spule020_Image0125_00122_1.jpg,0,1,0,1
Spule020_Image0126_00123_1.jpg,0,0,0,0
Spule020_Image0127_00124_1.jpg,0,1,0,1
Spule020_Image0128_00125_1.jpg,0,1,0,1
Spule020_Image0129_00126_1.jpg,0,1,0,1
Spule020_Image0130_00127_1.jpg,0,0,0,0
Spule020_Image0131_00128_1.jpg,0,1,0,1
Spule020_Image0132_00129_1.jpg,0,1,0,1
Spule020_Image0133_00130_1.jpg,0,1,0,1
Spule020_Image0134_00131_1.jpg,0,0,0,0
Spule020_Image0135_00132_1.jpg,0,1,0,1
Spule020_Image0136_00133_1.jpg,0,1,0,1
Spule020_Image0137_00134_1.jpg,0,1,0,1
Spule020_Image0138_00135_1.jpg,0,0,0,0
Spule020_Image0139_00136_1.jpg,0,1,0,1
Spule020_Image0140_00137_1.jpg,0,1,0,1
Spule020_Image0141_00138_1.jpg,0,1,0,1
Spule020_Image0142_00139_1.jpg,0,0,0,0
Spule020_Image0143_00140_1.jpg,0,1,0,1
Spule020_Image0144_00141_1.jpg,0,1,0,1
Spule020_Image0145_00142_1.jpg,0,1,0,1
Spule020_Image0146_00143_1.jpg,0,0,0,0
Spule020_Image0147_00144_1.jpg,0,1,0,1
Spule020_Image0148_00145_1.jpg,0,1,0,1
Spule020_Image0149_00146_1.jpg,0,1,0,1
Spule020_Image0150_00147_1.jpg,0,0,0,0
Spule020_Image0151_00148_1.jpg,0,1,0,1
Spule020_Image0152_00149_1.jpg,0,1,0,1
Spule020_Image0153_00150_1.jpg,0,1,0,1
Spule020_Image0154_00151_1.jpg,0,0,0,0
Spule020_Image0155_00152_1.jpg,0,1,0,1
Spule020_Image0156_00153_1.jpg,0,1,0,1
Spule020_Image0157_00154_1.jpg,0,1,0,1
Spule020_Image0158_00155_1.jpg,0,0,0,0
Spule020_Image0159_00156_1.jpg,0,1,0,1
Spule020_Image0160_00157_1.jpg,0,1,0,1
Spule020_Image0161_00158_1.jpg,0,1,0,1
Spule020_Image0162_00159_1.jpg,0,0,0,0
Spule020_Image0163_00160_1.jpg,0,1,0,1
Spule020_Image0164_00161_1.jpg,0,1,0,1
Spule020_Image0165_00162_1.jpg,0,1,0,1
Spule020_Image0166_00163_1.jpg,0,0,0,0
Spule020_Image0167_00164_1.jpg,0,1,0,1
Spule020_Image0168_00165_1.jpg,0,1,0,1
Spule020_Image0169_00166_1.jpg,0,1,0,1
Spule020_Image0170_00167_1.jpg,0,0,0,0
Spule020_Image0171_00168_1.jpg,0,1,0,1
Spule020_Image0172_00169_1.jpg,0,1,0,1
Spule020_Image0173_00170_1.jpg,0,1,0,1
Spule020_Image0174_00171_1.jpg,0,0,0,0
Spule020_Image0175_00172_1.jpg,0,1,0,1
Spule020_Image0176_00173_1.jpg,0,1,0,1
Spule020_Image0177_00174_1.jpg,0,1,0,1
Spule020_Image0178_00175_1.jpg,0,0,0,0
Spule020_Image0179_00176_1.jpg,0,1,0,1
Spule020_Image0180_00177_1.jpg,0,1,0,1
Spule020_Image0181_00178_1.jpg,0,1,0,1
Spule020_Image0182_00179_1.jpg,0,0,0,0
Spule020_Image0183_00180_1.jpg,0,1,0,1
Spule020_Image0184_00181_1.jpg,0,1,0,1
Spule020_Image0185_00182_1.jpg,0,1,0,1
Spule020_Image0186_00183_1.jpg,0,0,0,0
Spule020_Image0187_00184_1.jpg,0,1,0,1
Spule020_Image0188_00185_1.jpg,0,1,0,1
Spule020_Image0189_00186_1.jpg,0,1,0,1
Spule020_Image0190_00187_1.jpg,0,0,0,0
Spule020_Image0191_00188_1.jpg,0,1,0,1
Spule020_Image0192_00189_1.jpg,0,1,0,1
Spule020_Image0193_00190_1.jpg,0,1,0,1
Spule020_Image0194_00191_1.jpg,0,0,0,0
Spule020_Image0195_00192_1.jpg,0,1,0,1
Spule020_Image0196_00193_1.jpg,0,1,0,1
Spule020_Image0197_00194_1.jpg,0,1,0,1
Spule020_Image0198_00195_1.jpg,0,0,0,0
Spule020_Image0199_00196_1.jpg,0,1,0,1
Spule020_Image0200_00197_1.jpg,0,1,0,1
Spule020_Image0201_00198_1.jpg,0,1,0,1
Spule020_Image0202_00199_1.jpg,0,0,0,0
Spule020_Image0203_00200_1.jpg,0,1,0,1
Spule020_Image0204_00201_1.jpg,0,1,0,1
Spule020_Image0205_00202_1.jpg,0,1,0,1
Spule020_Image0206_00203_1.jpg,0,0,0,0
Spule020_Image0207_00204_1.jpg,0,1,0,1
Spule020_Image0208_00205_1.jpg,0,1,0,1
Spule020_Image0209_00206_1.jpg,0,1,0,1
Spule020_Image0210_00207_1.jpg,0,0,0,0
Spule020_Image0211_00208_1.jpg,0,1,0,1
Spule020_Image0212_00209_1.jpg,0,1,0,1
Spule020_Image0213_00210_1.jpg,0,1,0,1
Spule020_Image0214_00211_1.jpg,0,0,0,0
Spule020_Image0215_00212_1.jpg,0,1,0,1
Spule020_Image0216_00213_1.jpg,0,1,0,1
Spule020_Image0217_00214_1.jpg,0,1,0,1
Spule020_Image0218_00215_1.jpg,0,0,0,0
Spule020_Image0219_00216_1.jpg,0,1,0,1
Spule020_Image0220_00217_1.jpg,0,1,0,1
Spule020_Image0221_00218_1.jpg,0,1,0,1
